Date : 2025-04-20 17:19:58
Directory : c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]
Total : 1436 files,  206518 codes, 3377 comments, 17480 blanks, all 227375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| qb-banking\html                                                                                                                                   |          3 |      1,104 |          5 |         68 |      1,177 |
| qb-banking\locales                                                                                                                                |          5 |        178 |          0 |         10 |        188 |
| qb-bankrobbery                                                                                                                                    |         30 |      3,171 |        142 |        280 |      3,593 |
| qb-bankrobbery (Files)                                                                                                                            |          5 |        772 |         50 |         38 |        860 |
| qb-bankrobbery\.github                                                                                                                            |          7 |        223 |         11 |        104 |        338 |
| qb-bankrobbery\.github (Files)                                                                                                                    |          3 |        140 |          6 |         84 |        230 |
| qb-bankrobbery\.github\ISSUE_TEMPLATE                                                                                                             |          2 |         40 |          0 |         14 |         54 |
| qb-bankrobbery\.github\workflows                                                                                                                  |          2 |         43 |          5 |          6 |         54 |
| qb-bankrobbery\client                                                                                                                             |          5 |      1,088 |         44 |         60 |      1,192 |
| qb-bankrobbery\html                                                                                                                               |          4 |        398 |         18 |         29 |        445 |
| qb-bankrobbery\locales                                                                                                                            |          8 |        301 |          0 |         16 |        317 |
| qb-bankrobbery\server                                                                                                                             |          1 |        389 |         19 |         33 |        441 |
| qb-busjob                                                                                                                                         |         25 |      1,173 |         19 |        171 |      1,363 |
| qb-busjob (Files)                                                                                                                                 |          3 |        196 |          0 |         15 |        211 |
| qb-busjob\.github                                                                                                                                 |          7 |        223 |         11 |        104 |        338 |
| qb-busjob\.github (Files)                                                                                                                         |          3 |        140 |          6 |         84 |        230 |
| qb-busjob\.github\ISSUE_TEMPLATE                                                                                                                  |          2 |         40 |          0 |         14 |         54 |
| qb-busjob\.github\workflows                                                                                                                       |          2 |         43 |          5 |          6 |         54 |
| qb-busjob\client                                                                                                                                  |          1 |        313 |          8 |         23 |        344 |
| qb-busjob\locales                                                                                                                                 |         13 |        413 |          0 |         26 |        439 |
| qb-busjob\server                                                                                                                                  |          1 |         28 |          0 |          3 |         31 |
| qb-cityhall                                                                                                                                       |         26 |      1,358 |         21 |        203 |      1,582 |
| qb-cityhall (Files)                                                                                                                               |          3 |        151 |          2 |         19 |        172 |
| qb-cityhall\.github                                                                                                                               |          7 |        222 |         11 |        106 |        339 |
| qb-cityhall\.github (Files)                                                                                                                       |          3 |        139 |          6 |         86 |        231 |
| qb-cityhall\.github\ISSUE_TEMPLATE                                                                                                                |          2 |         40 |          0 |         14 |         54 |
| qb-cityhall\.github\workflows                                                                                                                     |          2 |         43 |          5 |          6 |         54 |
| qb-cityhall\client                                                                                                                                |          1 |        371 |          3 |         32 |        406 |
| qb-cityhall\locales                                                                                                                               |         14 |        473 |          0 |         25 |        498 |
| qb-cityhall\server                                                                                                                                |          1 |        141 |          5 |         21 |        167 |
| qb-clothing                                                                                                                                       |         22 |      6,282 |        224 |        479 |      6,985 |
| qb-clothing (Files)                                                                                                                               |          4 |      1,859 |         71 |         29 |      1,959 |
| qb-clothing\.github                                                                                                                               |          7 |        223 |         11 |        103 |        337 |
| qb-clothing\.github (Files)                                                                                                                       |          3 |        140 |          6 |         84 |        230 |
| qb-clothing\.github\ISSUE_TEMPLATE                                                                                                                |          2 |         40 |          0 |         14 |         54 |
| qb-clothing\.github\workflows                                                                                                                     |          2 |         43 |          5 |          5 |         53 |
| qb-clothing\client                                                                                                                                |          1 |      1,569 |        139 |        132 |      1,840 |
| qb-clothing\html                                                                                                                                  |          4 |      2,035 |          2 |        179 |      2,216 |
| qb-clothing\locales                                                                                                                               |          5 |        520 |          0 |         29 |        549 |
| qb-clothing\server                                                                                                                                |          1 |         76 |          1 |          7 |         84 |
| qb-commandbinding                                                                                                                                 |         13 |        568 |          8 |        153 |        729 |
| qb-commandbinding (Files)                                                                                                                         |          2 |         26 |          0 |         11 |         37 |
| qb-commandbinding\.github                                                                                                                         |          6 |        203 |          6 |         97 |        306 |
| qb-commandbinding\.github (Files)                                                                                                                 |          3 |        140 |          6 |         84 |        230 |
| qb-commandbinding\.github\ISSUE_TEMPLATE                                                                                                          |          2 |         40 |          0 |         13 |         53 |
| qb-commandbinding\.github\workflows                                                                                                               |          1 |         23 |          0 |          0 |         23 |
| qb-commandbinding\client                                                                                                                          |          1 |         64 |          0 |          7 |         71 |
| qb-commandbinding\html                                                                                                                            |          3 |        266 |          2 |         34 |        302 |
| qb-commandbinding\server                                                                                                                          |          1 |          9 |          0 |          4 |         13 |
| qb-core                                                                                                                                           |         79 |     10,293 |        438 |        863 |     11,594 |
| qb-core (Files)                                                                                                                                   |          4 |        246 |          3 |         27 |        276 |
| qb-core\.github                                                                                                                                   |          9 |        350 |         11 |        116 |        477 |
| qb-core\.github (Files)                                                                                                                           |          4 |        194 |          6 |        107 |        307 |
| qb-core\.github\ISSUE_TEMPLATE                                                                                                                    |          3 |        113 |          0 |          3 |        116 |
| qb-core\.github\workflows                                                                                                                         |          2 |         43 |          5 |          6 |         54 |
| qb-core\client                                                                                                                                    |          5 |      1,333 |         47 |        143 |      1,523 |
| qb-core\html                                                                                                                                      |          6 |        456 |         10 |         74 |        540 |
| qb-core\html (Files)                                                                                                                              |          1 |         20 |          0 |          1 |         21 |
| qb-core\html\css                                                                                                                                  |          2 |        224 |         10 |         40 |        274 |
| qb-core\html\js                                                                                                                                   |          3 |        212 |          0 |         33 |        245 |
| qb-core\locale                                                                                                                                    |         40 |      4,232 |          1 |         76 |      4,309 |
| qb-core\server                                                                                                                                    |          7 |      1,870 |        256 |        323 |      2,449 |
| qb-core\shared                                                                                                                                    |          8 |      1,806 |        110 |        104 |      2,020 |
| qb-crafting                                                                                                                                       |         10 |        581 |          7 |         38 |        626 |
| qb-crafting (Files)                                                                                                                               |          5 |        464 |          7 |         29 |        500 |
| qb-crafting\locales                                                                                                                               |          5 |        117 |          0 |          9 |        126 |
| qb-crypto                                                                                                                                         |         21 |        994 |         27 |        210 |      1,231 |
| qb-crypto (Files)                                                                                                                                 |          4 |         99 |          4 |         37 |        140 |
| qb-crypto\.github                                                                                                                                 |          7 |        223 |         11 |        103 |        337 |
| qb-crypto\.github (Files)                                                                                                                         |          3 |        140 |          6 |         84 |        230 |
| qb-crypto\.github\ISSUE_TEMPLATE                                                                                                                  |          2 |         40 |          0 |         14 |         54 |
| qb-crypto\.github\workflows                                                                                                                       |          2 |         43 |          5 |          5 |         53 |
| qb-crypto\client                                                                                                                                  |          1 |        109 |          3 |         13 |        125 |
| qb-crypto\locales                                                                                                                                 |          8 |        245 |          0 |         16 |        261 |
| qb-crypto\server                                                                                                                                  |          1 |        318 |          9 |         41 |        368 |
| qb-diving                                                                                                                                         |         24 |      1,519 |         20 |        185 |      1,724 |
| qb-diving (Files)                                                                                                                                 |          3 |        328 |          2 |         14 |        344 |
| qb-diving\.github                                                                                                                                 |          7 |        223 |         11 |        104 |        338 |
| qb-diving\.github (Files)                                                                                                                         |          3 |        140 |          6 |         84 |        230 |
| qb-diving\.github\ISSUE_TEMPLATE                                                                                                                  |          2 |         40 |          0 |         14 |         54 |
| qb-diving\.github\workflows                                                                                                                       |          2 |         43 |          5 |          6 |         54 |
| qb-diving\client                                                                                                                                  |          1 |        382 |          3 |         27 |        412 |
| qb-diving\locales                                                                                                                                 |         12 |        480 |          0 |         23 |        503 |
| qb-diving\server                                                                                                                                  |          1 |        106 |          4 |         17 |        127 |
| qb-doorlock                                                                                                                                       |         28 |      3,251 |        105 |        263 |      3,619 |
| qb-doorlock (Files)                                                                                                                               |          3 |      1,212 |         81 |         40 |      1,333 |
| qb-doorlock\.github                                                                                                                               |          7 |        223 |         11 |        103 |        337 |
| qb-doorlock\.github (Files)                                                                                                                       |          3 |        140 |          6 |         84 |        230 |
| qb-doorlock\.github\ISSUE_TEMPLATE                                                                                                                |          2 |         40 |          0 |         14 |         54 |
| qb-doorlock\.github\workflows                                                                                                                     |          2 |         43 |          5 |          5 |         53 |
| qb-doorlock\client                                                                                                                                |          1 |        845 |          8 |         58 |        911 |
| qb-doorlock\configs                                                                                                                               |          1 |          9 |          1 |          0 |         10 |
| qb-doorlock\html                                                                                                                                  |          3 |        142 |          0 |          9 |        151 |
| qb-doorlock\locales                                                                                                                               |         11 |        538 |          0 |         12 |        550 |
| qb-doorlock\saves                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| qb-doorlock\server                                                                                                                                |          1 |        281 |          4 |         41 |        326 |
| qb-drugs                                                                                                                                          |         25 |      2,412 |         55 |        210 |      2,677 |
| qb-drugs (Files)                                                                                                                                  |          4 |        230 |         29 |         17 |        276 |
| qb-drugs\.github                                                                                                                                  |          7 |        223 |         11 |        103 |        337 |
| qb-drugs\.github (Files)                                                                                                                          |          3 |        140 |          6 |         84 |        230 |
| qb-drugs\.github\ISSUE_TEMPLATE                                                                                                                   |          2 |         40 |          0 |         14 |         54 |
| qb-drugs\.github\workflows                                                                                                                        |          2 |         43 |          5 |          5 |         53 |
| qb-drugs\client                                                                                                                                   |          2 |        840 |         11 |         47 |        898 |
| qb-drugs\locales                                                                                                                                  |         10 |        827 |          0 |         20 |        847 |
| qb-drugs\server                                                                                                                                   |          2 |        292 |          4 |         23 |        319 |
| qb-garbagejob                                                                                                                                     |         22 |      1,640 |         31 |        197 |      1,868 |
| qb-garbagejob (Files)                                                                                                                             |          3 |        179 |         10 |         22 |        211 |
| qb-garbagejob\.github                                                                                                                             |          7 |        223 |         11 |        103 |        337 |
| qb-garbagejob\.github (Files)                                                                                                                     |          3 |        140 |          6 |         84 |        230 |
| qb-garbagejob\.github\ISSUE_TEMPLATE                                                                                                              |          2 |         40 |          0 |         14 |         54 |
| qb-garbagejob\.github\workflows                                                                                                                   |          2 |         43 |          5 |          5 |         53 |
| qb-garbagejob\client                                                                                                                              |          1 |        510 |         10 |         33 |        553 |
| qb-garbagejob\locales                                                                                                                             |         10 |        603 |          0 |         21 |        624 |
| qb-garbagejob\server                                                                                                                              |          1 |        125 |          0 |         18 |        143 |
| qb-hotdogjob                                                                                                                                      |         27 |      1,976 |         21 |        263 |      2,260 |
| qb-hotdogjob (Files)                                                                                                                              |          3 |        140 |          1 |         17 |        158 |
| qb-hotdogjob\.github                                                                                                                              |          7 |        223 |         11 |        103 |        337 |
| qb-hotdogjob\.github (Files)                                                                                                                      |          3 |        140 |          6 |         84 |        230 |
| qb-hotdogjob\.github\ISSUE_TEMPLATE                                                                                                               |          2 |         40 |          0 |         14 |         54 |
| qb-hotdogjob\.github\workflows                                                                                                                    |          2 |         43 |          5 |          5 |         53 |
| qb-hotdogjob\client                                                                                                                               |          1 |        833 |          4 |         86 |        923 |
| qb-hotdogjob\html                                                                                                                                 |          3 |        155 |          1 |         16 |        172 |
| qb-hotdogjob\locales                                                                                                                              |         12 |        568 |          1 |         29 |        598 |
| qb-hotdogjob\server                                                                                                                               |          1 |         57 |          3 |         12 |         72 |
| qb-houserobbery                                                                                                                                   |         25 |      2,133 |         18 |        187 |      2,338 |
| qb-houserobbery (Files)                                                                                                                           |          3 |      1,088 |          0 |         15 |      1,103 |
| qb-houserobbery\.github                                                                                                                           |          7 |        223 |         11 |        103 |        337 |
| qb-houserobbery\.github (Files)                                                                                                                   |          3 |        140 |          6 |         84 |        230 |
| qb-houserobbery\.github\ISSUE_TEMPLATE                                                                                                            |          2 |         40 |          0 |         14 |         54 |
| qb-houserobbery\.github\workflows                                                                                                                 |          2 |         43 |          5 |          5 |         53 |
| qb-houserobbery\client                                                                                                                            |          1 |        279 |          4 |         30 |        313 |
| qb-houserobbery\locales                                                                                                                           |         13 |        481 |          0 |         27 |        508 |
| qb-houserobbery\server                                                                                                                            |          1 |         62 |          3 |         12 |         77 |
| qb-houses                                                                                                                                         |         33 |      6,003 |         87 |        550 |      6,640 |
| qb-houses (Files)                                                                                                                                 |          4 |      1,185 |          0 |         31 |      1,216 |
| qb-houses\.github                                                                                                                                 |          7 |        223 |         11 |        103 |        337 |
| qb-houses\.github (Files)                                                                                                                         |          3 |        140 |          6 |         84 |        230 |
| qb-houses\.github\ISSUE_TEMPLATE                                                                                                                  |          2 |         40 |          0 |         14 |         54 |
| qb-houses\.github\workflows                                                                                                                       |          2 |         43 |          5 |          5 |         53 |
| qb-houses\client                                                                                                                                  |          2 |      1,832 |         61 |        214 |      2,107 |
| qb-houses\html                                                                                                                                    |          4 |        859 |          9 |        105 |        973 |
| qb-houses\locales                                                                                                                                 |         15 |      1,259 |          0 |         29 |      1,288 |
| qb-houses\server                                                                                                                                  |          1 |        645 |          6 |         68 |        719 |
| qb-hud                                                                                                                                            |         37 |      4,534 |         74 |        350 |      4,958 |
| qb-hud (Files)                                                                                                                                    |          5 |      1,313 |         41 |        132 |      1,486 |
| qb-hud\.github                                                                                                                                    |          8 |        295 |         11 |         94 |        400 |
| qb-hud\.github (Files)                                                                                                                            |          3 |        139 |          6 |         86 |        231 |
| qb-hud\.github\ISSUE_TEMPLATE                                                                                                                     |          3 |        113 |          0 |          3 |        116 |
| qb-hud\.github\workflows                                                                                                                          |          2 |         43 |          5 |          5 |         53 |
| qb-hud\html                                                                                                                                       |          5 |      2,416 |         22 |         85 |      2,523 |
| qb-hud\locales                                                                                                                                    |         19 |        510 |          0 |         39 |        549 |
| qb-input                                                                                                                                          |         14 |        865 |         20 |        210 |      1,095 |
| qb-input (Files)                                                                                                                                  |          2 |        129 |          0 |         24 |        153 |
| qb-input\.github                                                                                                                                  |          7 |        223 |         11 |        103 |        337 |
| qb-input\.github (Files)                                                                                                                          |          3 |        140 |          6 |         84 |        230 |
| qb-input\.github\ISSUE_TEMPLATE                                                                                                                   |          2 |         40 |          0 |         14 |         54 |
| qb-input\.github\workflows                                                                                                                        |          2 |         43 |          5 |          5 |         53 |
| qb-input\client                                                                                                                                   |          2 |         44 |          0 |         11 |         55 |
| qb-input\html                                                                                                                                     |          3 |        469 |          9 |         72 |        550 |
| qb-input\html (Files)                                                                                                                             |          2 |        189 |          1 |         31 |        221 |
| qb-input\html\styles                                                                                                                              |          1 |        280 |          8 |         41 |        329 |
| qb-interior                                                                                                                                       |         11 |      1,922 |         52 |        293 |      2,267 |
| qb-interior (Files)                                                                                                                               |          2 |         33 |          0 |         15 |         48 |
| qb-interior\.github                                                                                                                               |          7 |        223 |         11 |        103 |        337 |
| qb-interior\.github (Files)                                                                                                                       |          3 |        140 |          6 |         84 |        230 |
| qb-interior\.github\ISSUE_TEMPLATE                                                                                                                |          2 |         40 |          0 |         14 |         54 |
