Date : 2025-04-20 17:19:58
Directory : c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]
Total : 1436 files,  206518 codes, 3377 comments, 17480 blanks, all 227375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\.github\workflows\stale.yml                     | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\README.md                                       | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\client\main.lua                                 | Lua        |        782 |          5 |         73 |        860 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\config.lua                                      | Lua        |          5 |          0 |          3 |          8 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\fxmanifest.lua                                  | Lua        |         19 |          0 |          6 |         25 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\html\index.html                                 | HTML       |         34 |          0 |          1 |         35 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\html\script.js                                  | JavaScript |         88 |          0 |          4 |         92 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\html\style.css                                  | CSS        |        143 |          1 |         21 |        165 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\qb-lapraces.sql                                 | MS SQL     |         10 |          0 |          1 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-lapraces\server\main.lua                                 | Lua        |        551 |          5 |         44 |        600 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\.github\ISSUE_TEMPLATE\bug_report.md          | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\.github\ISSUE_TEMPLATE\feature-request.md     | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\.github\auto_assign.yml                       | YAML       |          7 |          6 |          5 |         18 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\.github\contributing.md                       | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\.github\pull_request_template.md              | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\.github\workflows\lint.yml                    | YAML       |         23 |          0 |          0 |         23 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\.github\workflows\stale.yml                   | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\README.md                                     | Markdown   |         24 |          0 |          7 |         31 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\client\cl_boss.lua                            | Lua        |        262 |          2 |         20 |        284 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\client\cl_gang.lua                            | Lua        |        263 |          3 |         21 |        287 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\client\cl_utils.lua                           | Lua        |         20 |          0 |          1 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\config.lua                                    | Lua        |         33 |          1 |          4 |         38 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\fxmanifest.lua                                | Lua        |         19 |          0 |          4 |         23 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\cs.lua                                | Lua        |         85 |          1 |          2 |         88 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\de.lua                                | Lua        |         85 |          0 |          2 |         87 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\en.lua                                | Lua        |         82 |          1 |          2 |         85 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\es.lua                                | Lua        |         84 |          1 |          2 |         87 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\fr.lua                                | Lua        |         96 |          0 |          2 |         98 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\nl.lua                                | Lua        |         85 |          1 |          2 |         88 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\pt-br.lua                             | Lua        |         85 |          0 |          2 |         87 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\locales\pt.lua                                | Lua        |         85 |          0 |          2 |         87 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\server\sv_boss.lua                            | Lua        |        159 |          5 |         21 |        185 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-management\server\sv_gang.lua                            | Lua        |        143 |          5 |         18 |        166 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\.github\ISSUE_TEMPLATE\bug_report.md         | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\.github\ISSUE_TEMPLATE\feature-request.md    | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\.github\auto_assign.yml                      | YAML       |          7 |          6 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\.github\contributing.md                      | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\.github\pull_request_template.md             | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\.github\workflows\lint.yml                   | YAML       |         23 |          0 |          0 |         23 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\.github\workflows\stale.yml                  | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\README.md                                    | Markdown   |         22 |          0 |         11 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\client\cosmetic.lua                          | Lua        |        659 |         11 |         56 |        726 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\client\drivingdistance.lua                   | Lua        |        114 |          4 |         12 |        130 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\client\main.lua                              | Lua        |        184 |          5 |         23 |        212 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\client\nitrous.lua                           | Lua        |        112 |          4 |         10 |        126 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\client\performance.lua                       | Lua        |        188 |          1 |          9 |        198 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\client\repair.lua                            | Lua        |        225 |          3 |         16 |        244 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\client\tunerchip.lua                         | Lua        |        143 |          3 |         16 |        162 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\config\config.lua                            | Lua        |        108 |          0 |          7 |        115 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\config\const.lua                             | Lua        |        466 |         11 |         20 |        497 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\fxmanifest.lua                               | Lua        |         27 |          0 |          7 |         34 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\html\index.html                              | HTML       |         26 |          0 |          1 |         27 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\html\script.js                               | JavaScript |        175 |          1 |         24 |        200 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\html\style.css                               | CSS        |        145 |          0 |         18 |        163 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\locales\de.lua                               | Lua        |         95 |          0 |          1 |         96 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\locales\en.lua                               | Lua        |         92 |          0 |          2 |         94 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\locales\es.lua                               | Lua        |         95 |          0 |          1 |         96 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\locales\nl.lua                               | Lua        |         95 |          0 |          2 |         97 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-mechanicjob\server\main.lua                              | Lua        |        291 |         15 |         45 |        351 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\.github\ISSUE_TEMPLATE\bug_report.md                | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\.github\ISSUE_TEMPLATE\feature-request.md           | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\.github\auto_assign.yml                             | YAML       |          7 |          6 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\.github\contributing.md                             | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\.github\pull_request_template.md                    | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\.github\workflows\lint.yml                          | YAML       |         23 |          0 |          0 |         23 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\.github\workflows\stale.yml                         | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\README.md                                           | Markdown   |         76 |          0 |          9 |         85 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\client\main.lua                                     | Lua        |        101 |          5 |         19 |        125 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\fxmanifest.lua                                      | Lua        |         13 |          0 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\html\index.html                                     | HTML       |         20 |          1 |          3 |         24 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\html\script.js                                      | JavaScript |         83 |          0 |         13 |         96 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-menu\html\style.css                                      | CSS        |        206 |          8 |         29 |        243 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\README.md                                      | Markdown   |         59 |          0 |         12 |         71 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\hacking.lua                             | Lua        |         33 |          0 |          5 |         38 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\keyminigame.lua                         | Lua        |         25 |          0 |          4 |         29 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\lockpick.lua                            | Lua        |         26 |          0 |          4 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\pinpad.lua                              | Lua        |         25 |          0 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\quiz.lua                                | Lua        |         37 |          0 |          4 |         41 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\skillbar.lua                            | Lua        |         19 |          0 |          3 |         22 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\wordguess.lua                           | Lua        |         41 |          0 |          6 |         47 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\client\wordscramble.lua                        | Lua        |         48 |          0 |          7 |         55 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\fxmanifest.lua                                 | Lua        |         17 |          0 |          4 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\hacking.css                           | CSS        |         61 |          0 |          9 |         70 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\keyminigame.css                       | CSS        |         33 |          0 |          3 |         36 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\lockpick.css                          | CSS        |         69 |          0 |          6 |         75 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\pinpad.css                            | CSS        |         58 |          0 |          7 |         65 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\quiz.css                              | CSS        |        344 |          0 |         48 |        392 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\skillbar.css                          | CSS        |         11 |          0 |          1 |         12 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\tictactoe.css                         | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\wordguess.css                         | CSS        |         75 |          0 |         12 |         87 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\css\wordscramble.css                      | CSS        |         86 |          0 |         17 |        103 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\index.html                                | HTML       |        153 |         14 |          8 |        175 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\hacking.js                             | JavaScript |        300 |          0 |         31 |        331 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\keyminigame.js                         | JavaScript |        133 |          0 |         25 |        158 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\lockpick.js                            | JavaScript |        209 |          0 |         45 |        254 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\pinpad.js                              | JavaScript |         83 |          0 |         15 |         98 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\quiz.js                                | JavaScript |        201 |          0 |         18 |        219 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\skillbar.js                            | JavaScript |        174 |          7 |         29 |        210 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\wordguess.js                           | JavaScript |         89 |          0 |         14 |        103 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-minigames\html\js\wordscramble.js                        | JavaScript |         80 |          0 |         12 |         92 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\.github\ISSUE_TEMPLATE\bug_report.md      | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\.github\ISSUE_TEMPLATE\feature-request.md | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\.github\auto_assign.yml                   | YAML       |          7 |          6 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\.github\contributing.md                   | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\.github\pull_request_template.md          | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\.github\workflows\lint.yml                | YAML       |         23 |          0 |          1 |         24 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\.github\workflows\stale.yml               | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\README.md                                 | Markdown   |         40 |          0 |         12 |         52 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\client\main.lua                           | Lua        |        242 |          4 |         31 |        277 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\config.lua                                | Lua        |         13 |          0 |          2 |         15 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\fxmanifest.lua                            | Lua        |         36 |          0 |          7 |         43 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\app.js                               | JavaScript |        215 |          1 |         10 |        226 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\index.html                           | HTML       |        113 |          9 |          8 |        130 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\profanity.js                         | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\reset.css                            | CSS        |        125 |          1 |          1 |        127 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\style.css                            | CSS        |        396 |         39 |         72 |        507 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\swal2.js                             | JavaScript |          2 |          0 |          0 |          2 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\translations.js                      | JavaScript |         60 |         25 |         11 |         96 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\validation.js                        | JavaScript |         84 |         29 |         16 |        129 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\html\vue.js                               | JavaScript |          1 |          5 |          0 |          6 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\ar.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\cs.lua                            | Lua        |         59 |          9 |         12 |         80 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\de.lua                            | Lua        |         59 |          9 |         14 |         82 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\en.lua                            | Lua        |         56 |          9 |         13 |         78 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\es.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\fi.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\fr.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\it.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\ja.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\nl.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\pt-br.lua                         | Lua        |         59 |          9 |         14 |         82 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\pt.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\sv.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\tr.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\locales\vi.lua                            | Lua        |         59 |          9 |         13 |         81 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-multicharacter\server\main.lua                           | Lua        |        189 |          4 |         23 |        216 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\.github\ISSUE_TEMPLATE\bug_report.md             | Markdown   |         25 |          0 |          8 |         33 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\.github\ISSUE_TEMPLATE\feature-request.md        | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\.github\auto_assign.yml                          | YAML       |          7 |          6 |          4 |         17 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\.github\contributing.md                          | Markdown   |        125 |          0 |         77 |        202 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\.github\pull_request_template.md                 | Markdown   |          8 |          0 |          3 |         11 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\.github\workflows\lint.yml                       | YAML       |         23 |          0 |          0 |         23 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\.github\workflows\stale.yml                      | YAML       |         20 |          5 |          5 |         30 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\README.md                                        | Markdown   |         15 |          0 |          6 |         21 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\client\camera.lua                                | Lua        |        401 |         20 |         36 |        457 |
| c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[qb]\qb-newsjob\client\main.lua                                  | Lua        |        232 |          0 |         22 |        254 |
